cleaned_text,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
masih jd tmpt favorit blnja klu ke jogja,1,0,0,0,0,0,0,0,0,1,0,0,0
Barang yg dijual hampir sejenis di satu kawasan,0,0,1,0,0,0,0,0,0,0,0,0,0
Disini adalah pusatnya untuk mencari gerabah di Yogyakarta dengan harga bersahabat..segala macam kebutuhan untuk dekorasi rumah.. keperluan dapur..resto maupun keperluan rumah seperti genteng atau wuwung ada..,1,0,0,1,0,0,0,0,0,0,0,0,0
"Seneng bgt liat toko toko gerabah di sini, pokoke keren abiss ...",1,0,0,0,0,0,1,0,0,0,0,0,0
Mereka punya banyak barang bagus tentang Jogja dengan kualitas bagus dan harga terjangkau. Keren.,1,0,0,1,0,0,0,0,0,0,0,0,0
"Tempatnya nyaman, parkir ada, banyak pilihan",0,0,0,0,0,0,1,0,0,0,0,0,0
"Banyak kerajinan gerabah yg dijual, aneka ragam. Harga sesuai dgn kualitas barang.",1,0,0,1,0,0,0,0,0,0,0,0,0
"Pecinta craft dan gerabah atau homedecor enthusiast wajib kesini. Koleksinya lengkap dan puas karena bisa milih2 langsung, bisa banding-bandingin kualitas dan harga antara 1 outlet dengan yang lainnya. Untuk harga sepadanlah dengan ...",1,0,0,1,0,0,0,0,0,1,0,0,0
A long road where there are multiple store that is selling traditional handcraft from shell or ratan. Great place to check and find unique pieces for your own home decoration. ...,1,0,0,0,0,0,0,0,0,0,0,0,0
Bagi yg suka dgn anyaman dan barang barang hiasan unik....disini tempatnya,1,0,0,0,0,0,0,0,0,0,0,0,0
Pesen lampu custom buat rumah baru disini trusted dan memuaskan ya hasilnya elegan dan mewah,1,0,0,0,0,0,0,0,0,0,0,0,0
"pelayanan ramah , tempatnya nyaman & tentunya harga terjangkau ...",0,0,0,1,0,0,1,0,0,0,0,0,0
"Kampung wisata khas china yang wajib dikunjungi saat liburan biasa maupun hari raya nasional, banyak makanan khas dan acara tang hanya ada saat itu juga, bagi pecinta selfie banyak spot yang bisa di pakai",0,0,0,0,0,0,0,0,0,0,0,0,1
"Pelayanya ramah ramah, barangnya juga sesuai dengan harga matur nuwun",1,0,0,1,0,0,1,0,0,0,0,0,0
"Awas lapar mata. Disini banyak toko kerajinan dari mulai yang model tradisional sampai yang modern. Saya beli kolam (?) gerabah dengan dudukannya dapat harga 125, terus keranjang dari eceng gondok 170ribu dapat 2. Mayan kan.",1,0,0,1,0,0,0,0,0,0,0,0,0
"Koleksi perlengkapan pakaian adat jogja variatif, kualitas bagus, tempatnya tenang dan nyaman",1,0,0,0,0,0,1,0,0,0,0,0,0
Anak anak pengen belajar membuat gerabah,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kampung Tionghoa yang ada di dekat Malioboro.Di depan gang masuk ada Gapura didominasi warna hijau,kuning,merah emas dekat Mall Ramayana.Sebagian besar warga kampung Ketandan memang keturunan dan umumnya buka toko,rumah makan dan ...",0,0,0,0,0,0,1,0,0,0,0,0,1
Tjokrosuharto menyediakan semua kebutuhan souvenir dan seni kerajinan budaya jogkakarta semua lengkap ada disini .,1,0,0,0,0,0,0,0,0,0,0,0,0
Harus pinter2 nawar disini gak ada patokan harga tertinggi berapa.. dan pandai2 membedakan kualitas barang kelas 1 sama kelas 2 biar gak ketipu harga.,1,0,0,1,1,0,0,0,0,0,0,0,0
Pusat perbelanjaan serba ada untuk kebutuhan tradisional,0,0,0,0,0,0,1,0,0,0,0,0,0
Centra keramik kualitas bagus dan murah..,1,0,0,1,0,0,0,0,0,0,0,0,0
Lokasi yang sangat rekomended untuk mencari kerajinan gerabah maupun kerajinan tangan lain seperti anyaman enceng gondok dan bahan alami lainnya. Harga relatif terjangkau dan merupakan penyuplai kerajinan ke berbagai daerah wisata termasuk Bali,1,0,0,0,0,1,0,0,0,1,0,0,0
"Menyediakan segala keperluan adat Jawa, khususnya gaya Yogyakarta. Jual kain juga untuk dijahitkan sesuai ukuran.",1,0,0,0,0,0,0,0,0,0,0,0,0
tempat yang bagus,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pengalaman seru saat menghadiri pekan budaya tionghoa yogyakarta,kita bisa belajar mengenal ragam budaya di indonesia.. Sebuah acara yg rutin setiap tahun di gelar di kawasan pecinan ketandan..",1,0,0,0,0,0,0,0,0,0,0,0,0
Pusat handycraf dan gerabah,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pen holdernya kokoh dan elegan, pas buat meja kerja. Pelayanan cepat dan ramah, sangat memuaskan",1,0,0,0,0,0,1,0,0,0,0,0,0
"Paling seru kalo kesini ketemu yang unik2, bagus dan pastinya harga oke krna langsung dr pengrajin",1,0,0,1,0,0,0,0,0,0,0,0,0
Keren panget pokoknya kerajinan disini di jamin deh,1,0,0,0,0,0,0,0,0,0,0,0,0
"Segala pernik craft ada. Tinggal pilih toko-toko yg ada di sepanjang jalan, disesuaikan dengan kebutuhan",1,0,0,0,0,0,0,0,0,0,0,1,0
mantep nih tempat,0,0,0,0,0,0,0,0,0,0,0,0,1
Gerabah disini luar biasa,1,0,0,0,0,0,0,0,0,0,0,0,0
Berbagai aneka kerajinan tangan,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mantap. Adem ayem. Mau cari gerabah apapun disini adaa. Harga jelas murah karena langsung dari produsennya. Banyak yg menyediakan pelatihan membuat gerabah. Tempat makan dan tempat nongkrong disini banyak, harganya murah meriah. Akomodasi ...",1,0,0,1,0,0,0,0,0,0,0,0,0
"Tetap nJawani dan nJogjani. Tempat terlengkap dan nyaman untuk mencari perlengkapan tradisional Jawa, khususnya Jogja. Kain, beskap, surjan, kebaya, blangkon, keris, sampai lerak jebuksari dkk ada di sini",1,0,0,0,0,0,0,0,0,1,0,0,1
Tempat yang bagus untuk menemukan pakaian tradisional Yogyakarta...,1,0,0,0,0,0,0,0,0,0,0,0,0
Koleksinya jawa banget cocok untuk yg mencari souvenir khas jawa,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kemasan sebagai Desa Wisata agak kurang menarik, produk asli lokal ""gerabah"" mulai tergeser perlahan dengan produk kayu dll.",1,1,0,0,0,0,0,0,0,0,0,0,0
"Pusat gerabah di jogja, aneka model dan kegunaan dg seni tinggi dari bahan tanah liat pilihan.. Bikin khilaf kalo sdh masuk di daerah gerabah kasongan ini.. Menyala gerabah kasongan ...",1,0,0,0,0,0,1,0,0,0,0,0,1
"Kawasan tempat belanja home deco paling komplit dan murah, langsung dari pengrajin. Di sini kerajinan utamanya adalah gerabah, namun demikian, kita bisa mendapatakan keperluan rumah lainnya yang terbuat dari kulit, batu alam, kayu, kulit ...",1,0,0,1,0,0,0,0,0,0,0,0,0
Ceramics production point in the southern of Yogyakarta; - traditional to contemporary ceramics. Easy to reach the location. Nice to explore along way the street in this village.,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suka bgt nyari batik disini krn banyak pilihannya dr berbagai harga , dr yg murah sampai mahal ada.",1,0,0,1,1,1,0,0,0,0,0,0,0
Nyaman berbelanja disini,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pelayanan ramah, barang terjamin ...",1,0,0,0,0,0,1,0,0,0,0,0,0
Penjual responsif Kualitas barang sangat bagus Harga sesuai kualitas,1,0,0,1,0,0,1,0,0,0,0,0,0
Tersedia aneka kerajinan lawasan dan baru,1,0,0,0,0,0,0,0,0,0,0,0,0
Berada dekat dgn jalan Malioboro,0,0,0,0,0,0,0,0,0,0,0,0,1
Tepat yang bagus,1,0,0,0,0,0,1,0,0,0,0,0,0
Perlengkapan pernikahan juga ada,1,0,0,0,0,0,0,0,0,0,0,0,0
Untuk cari dekor buat rumah Cari di daerah kasongan Bagus banyak yang lucu dan unik unik,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nyari gerabah sate kemana2,gak ketemu baru ingat disinilah tempatnya",0,0,1,0,0,0,0,0,0,0,0,0,0
Beli besek dan peralatan souvenir kesini aja. Kamu tinggal ke pasar Bringharjo lantai 3,1,0,0,0,0,0,0,0,1,0,0,0,0
Banyak hasil kerajinan tembaga yang bagus dan menarik di sini,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kali ini saya mampir di salah satu tempat penjualan cinderamata yg cukup lengkap di kota Yogyakarta. Untuk koleksi cukup lengkap dan harga pun masih OK, selain itu tempat parkir cukup mudah, akses tidak macet. Namun sayang oknum tukang ...",1,0,0,1,0,0,1,1,0,0,0,0,0
Produk batik premium dengan pelayanan yang baik. Mereka memiliki studio tempat Anda dapat berfoto dengan mengenakan pakaian adat Jawa,1,0,0,0,0,0,1,0,0,0,0,0,0
"Nyari gerabah sate kemana2,gak ketemu baru ingat disinilah tempatnya",1,0,0,0,0,0,1,0,0,0,0,0,0
Kl cari barang2 antik khas jogja,0,0,1,0,0,0,0,0,0,0,0,0,0
Mantap pokoknya makanannya istimewa,1,0,0,0,0,0,0,0,0,0,0,0,0
"langganan setiap ke Yogya, pilih pilih, beli dan dikirim via ekspedisi, praktis ngga repot, harga separuh dari daerah lain penghasil terracota juga",1,0,0,1,0,0,0,0,0,0,0,0,0
Produk dan kualitas barang baik ...tidak Salah saya pesan kerajinan disini terimakasih yudaartdisegn ...,1,0,0,0,0,0,1,0,0,0,0,0,0
Hiasannya bagus bagus. Tapi masih kurang lengkap seperti bangku dan pajangan. Mudah mudahan bisa di kembangkan lagi. Semangat gan.,1,1,0,0,0,0,0,0,0,0,0,0,0
telor nya nglothok ...,0,0,0,0,0,0,0,0,0,0,0,0,1
Enjoy new experience,1,0,0,0,0,0,0,0,0,0,0,0,0
Kerajinan tambaga kuningan disini ada panyak jenis degan harga terjagkau dan hasil yang memuaskan..,1,0,0,1,0,0,0,0,0,0,0,0,0
Sovenirnya murah serta pelayananya ramah,0,0,0,1,0,0,1,0,0,0,0,0,0
Center of chinese new year celebration at jogjakarta The festival near february first week every year There is street food festival ...,1,0,0,0,0,0,0,0,0,0,0,0,0
A long road where there are multiple store that is selling traditional handcraft from shell or ratan. Great place to check and find unique pieces for your own home decoration. ...,1,0,0,0,0,0,1,0,0,0,0,0,0
"Kaget ternyata kerajinannya keren banget, sampe bingung pilih yg mana, harga juga terjangkau cocok buat yg nyari hiasa rumah rekomen banget d sini",1,0,0,1,0,0,0,0,0,0,0,0,0
"Yang cari cinderamata dari Yogya silahkan mampir disini, dijamin memuaskan. Harga terjangkau kwalitas terjamin. Dan pelayanannya sangat ramamah. Recommended",1,0,0,1,0,0,1,0,0,0,0,0,0
Banyak macam aneka pot dan kerajinan,1,0,0,0,0,0,0,0,0,0,0,0,0
Sering di jadikan tempat bukber,0,0,0,0,0,0,0,0,0,0,0,0,1
"kalo kesini jangan melakukan transaksi pembelian dulu sebelum muter kesetiap tokonya untuk mendapatkan harga yg terbaik, setelah puas muterin baru diulangi mana mana saja barang yg menarik dan sesuai baik dari kualitas dan anggaran, jangan ...",0,0,0,0,0,0,0,0,0,0,0,1,0
"Pertama kali masuk toko kerajinan tembaga dan kuningan dibuat takjub dengan hasil-hasil kerajinannya yang sangat cantik. Pelayanan di toko ini sangat baik dan ramah-ramah . Kualitas kerajinan bagus dengan harga yang sesuai, cocok digunakan untuk hiasan dirumah agar semakin cantik dan mewah. Sangat recomended ...",1,0,0,1,0,0,1,0,0,0,0,0,0
"Suka bgt nyari batik disini krn banyak pilihannya dr berbagai harga , dr yg murah sampai mahal ada.",0,0,0,1,0,0,0,0,0,0,0,0,0
Menyenangkan melihat begitu banyak kerajinan yang indah. Bisa untuk reseller...,1,0,0,0,0,0,0,0,0,0,0,0,0
"Matur nuwun yudaartdesign, barang nyampe tanpa lecet sedikitpun. Kualitas oke ...",1,0,0,0,0,0,0,0,0,0,0,0,0
"Tempatnya nyaman,penuh suasana Jawa. Selalu diputar gending-gending Jawa, menambah suasananya semakin khas. Bukan sekedar toko kerajinan,Bapak SBY pernah berkunjung disini, syuting AADC 2 juga pernah berlatar belakang disini. ...",0,0,0,0,0,0,1,0,0,0,0,0,0
Koleksi batik dan kerajinan tangan cukup banyak dan lengkap. Termasuk aksesoris pengantin. Meskipun tampilan produk perlu sedikit ditingkatkan. ...,1,1,0,0,0,0,0,0,0,0,0,0,0
Tidak semua yg menyediakan gerabah ada tempat parkir kendaraan roda empat,1,0,0,0,0,0,1,0,0,0,0,0,0
"Menyediakan segala keperluan adat Jawa, khususnya gaya Yogyakarta. Jual kain juga untuk dijahitkan sesuai ukuran.",1,0,0,0,0,0,0,0,0,0,0,0,0
Buat ngisi interior rumah bagus2 barang nya..cuma parkirnya sempit di beberapa titik,1,0,0,0,0,0,0,1,0,0,0,0,0
"Kerajinan tembaga dan Kuningan yang bagus yg pernah sy temui. Lengkap juga, lumayan buat hiasan. Owner juga ramah",1,0,0,0,0,0,1,0,0,0,0,0,0
"Bila di Jogja dan waktu anda terbatas mencari sesuatu yang unik dan khas untuk buah tangan. Toko ini memiliki jaminan mutu dan kualutas, jangan ragu untuk menuju toko ini, untuk memilih dengan cepat dan mudah, dengan harga yang terjangkau dan sesuai.",1,0,0,1,0,0,1,0,0,0,0,0,0
Kampung China yang asri di Yogyakarta. Terletak di pusat bisnis Malioboro. Dengan bangunan khas pecinan menyajikan arsitektur yang lain daripada tempat-tempat di Yogyakarta.,0,0,0,0,0,0,1,0,0,0,0,0,0
Recommended Seller... Pengrajin sangat fast respon.. Bisa custom sesuai keinginan kita.. Bakal pesan lagi. Thanks Yuda Art Design,1,0,0,0,0,0,1,0,0,0,0,0,0
Sanagt...sangat bagus banyaķ pengrajin gerabah di kasongan...ayooo mampirrr.,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kerajinan nya bagus bagus, cocok buat yang mau nyari kerajinan",1,0,0,0,0,0,0,0,0,0,0,0,0
"Menyediakan berbagai perlengkapan tradisional jawa antara lain surjan, jarik, kebaya, lurik, keris, souvenir, ada juga baju batik. Pelayanan ramah, banyak pilihan barang, harga relatif terjangkau. Tempat nyaman sehingga lebih leluasa memilih.",1,0,0,1,0,0,1,0,0,0,0,0,0
Sebuah replikasi perkampungan China kecil dengan konsep dan dekorasi seperti kampung China. Tempat ini menjadi distrik untuk berfoto foto. Terdapat banyak toko yang menjual perhiasan dan emas di sepanjang jalan China town.,1,0,0,0,0,0,1,0,0,0,0,0,0
barang barang seni. Komplit.,1,0,0,0,0,0,0,0,0,0,0,0,0
Anda bisa membeli banyak karya wayang kulit dengan harga yang wajar.,1,0,0,1,0,0,0,0,0,0,0,0,0
sentra kerajinan tembaga kuningan recomended,1,0,0,0,0,0,0,0,0,0,0,0,0
"Banyak gerabah bernilai seni tinggi,recommended",1,0,0,0,0,0,0,0,0,1,0,0,0
Untuk nyantai...dan cari hiburan disepanjang jalan malioboro,0,0,0,0,0,0,0,0,0,0,0,0,1
tepat waktu...sangat rapi dan bagus pengerjaannya...terima kasih yuda art design,1,0,0,0,0,0,0,0,0,0,0,0,0
Tempat belanja berbagai pernak-pernik cendera mata khas Jogja.. Komplit dan banyak pilihannya..,1,0,0,0,0,0,0,0,0,0,0,0,0
Traditional gimmicks market,0,0,0,0,0,0,0,0,0,0,0,0,1
Semuanya indah disini,1,0,0,0,0,0,0,0,0,0,0,0,0
Koleksi handycraft cukup lengkap dan unik,1,0,0,0,0,0,0,0,0,0,0,0,0
Apapun bisa BERNILAI disini,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pen holdernya kokoh dan elegan, pas buat meja kerja. Pelayanan cepat dan ramah, sangat memuaskan",1,0,0,0,0,0,1,0,0,0,0,0,0
Detailnya bikin jatuh cintaa,1,0,0,0,0,0,0,0,0,0,0,0,0
All about Jogja's culture,1,0,0,0,0,0,0,0,0,0,0,0,0
Hasil kerajinan tangannya berkualitas dan barang bisa dikirim ke rumah,1,0,0,0,0,0,0,0,0,0,0,1,0
Toko perabotnya sangat gemass dan bisa custom,1,0,0,0,0,0,0,0,0,0,0,0,0
Bagus gerabah hasil kerajinannya,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tempat yg tepat untuk belanja tembikar, souvenir, batu alam, tanah liat..",1,0,0,0,0,0,1,0,0,0,0,0,0
"Tourist village area in this neighboring village. Along the Kasongan road there are clay craft shops (pots, tables, chairs, souvenirs, etc.), Several stores and galleries. ...",1,0,0,0,0,0,1,0,0,0,0,0,0
"Asyik , Barangnya bagus 2...",1,0,0,0,0,0,0,0,0,0,0,0,0
"wah koleksinya bagus bagus, bagi yang sedang mencari kerajinan ini recommended banget, tempatnya menyenangkan",1,0,0,0,0,0,1,0,0,0,0,0,0
"Kasongan adalah sebuah desa yang nyaman, pemandangan gerabah yg indah, banyak pengrajin dan penjual kerajinan. Cocok untuk belanja perabot dan pernak penik rumah yg unik n elegan. Sebagai ciri khas yogyakarta",1,0,0,0,0,0,1,0,0,0,0,0,0
"Kesini bareng temen nyari hadiah buat ortu, rencana nyari hiasan rumah yang bagus. Pas langsung ke toko bingung pada bagus. ...",1,0,0,0,0,0,0,0,0,0,0,0,0
Best price just dont over react to an item,0,0,0,1,0,0,0,0,0,0,0,0,0
Kampung tionghoa di malioboro ...,0,0,0,0,0,0,1,0,0,0,0,0,0
Pusat kerajinan tembaga terbaik,0,0,0,0,0,0,1,0,0,0,0,0,0
Unik & menarik.,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tempatnya luas terdapat banyak model kerajinan, tempatnya pun strategis di tengah kota hanya saja tempatnya berdebu lebih baik jika setiap hari dibersihkan supaya barang lebih bersih",1,0,0,0,0,0,1,1,0,0,0,0,0
Buat yang cari pernak pernik budaya jogja bisa mampir sini. Suasananya jogja banget! Oalah org di jogja he he,1,0,0,0,0,0,1,0,0,0,0,0,0
"Tradisionil, lengkap, klasik, vintage",1,0,0,0,0,0,0,0,0,0,0,0,0
"Saya sangat terkesan dengan pengalaman berbelanja di toko kerajinan tembaga dan kuningan ini! Lokasinya strategis dan mudah ditemukan. Saat memasuki toko, saya disambut dengan keramahan pemilik dan desain interior yang apik. Barangnya ...",1,0,0,0,0,0,1,0,0,0,0,0,0
"Bagus banget, kualitas produk top bangett, pelayanan ramah",1,0,0,0,0,0,1,0,0,0,0,0,0
"Tempatnya nyaman,penuh suasana Jawa. Selalu diputar gending-gending Jawa, menambah suasananya semakin khas. Bukan sekedar toko kerajinan,Bapak SBY pernah berkunjung disini, syuting AADC 2 juga pernah berlatar belakang disini. ...",0,0,0,0,0,0,1,0,0,1,0,0,1
"Udah keliling nyari hiasan rumah tapi gak ad yg cocok. Coba ke sini, bagus banget sampe bingung pilih, kualitas tembaga dan kuningannya bagus.",1,0,0,0,0,0,1,0,0,0,0,0,0
Good services ...,0,0,0,0,0,0,1,0,0,0,0,0,0
Barangnya bagus bagus.. harga relatif.. pegawainya ramah ramah.. Kalau ke jogja harus banget berkunjung ke sini.. Kay Homedecor sukses...,1,0,0,1,0,0,1,0,0,1,0,0,0
"Tempat ini sangat vintage. Menjual aksesoris antik, perak, batik, patung, topeng dengan kualitas dan harga yang bagus. Direkomendasikan untuk wisatawan. Stafnya ramah dan membantu.",1,0,0,1,0,0,1,0,0,1,0,0,0
Pusat kerajinan dan batik dekat dengan gudeg wijilan,0,0,1,0,0,0,0,0,0,0,0,0,0
Produknya benar2 legenda. Macam ragam penyampaiannya dalam budaya Jawa.,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pokonya aku rekomendasikan buat yang lagi cari kerajinan tembaga atau Kuningan,dan pastinya hasilnya rapih dan memuaskan",1,0,0,0,0,0,0,0,0,0,0,0,0
"Gak nyangka banget di sini kerajinan tembaga dan Kuningan harganya terjangkau dan kualitas nya bagus, cocok buat koleksi juga.",1,0,0,1,0,0,0,0,0,0,0,0,0
Lengkap produk gerabahnya,1,0,0,0,0,0,0,0,0,0,0,0,0
Kreatifitas tiada henti,1,0,0,0,0,0,0,0,0,0,0,0,0
Kalau butuh hiasan dinding selalu ke sini. Kaligrafi nya juga bagus. Harga terjangkau,1,0,0,1,0,0,0,0,0,0,0,0,0
"Desa legendaris di Kab Bantul, DIY Berkumpulnya para seniman grabah, kayu dan handicraft serta home dekorasi Banyak yang sudah online Bahkan eksport ke mancanegara",1,0,0,0,0,0,0,0,0,0,0,0,0
Komplit dan josss,1,0,0,0,0,0,0,0,0,0,0,0,0
